estimand,role,K_TRUE,replicate,K,start,pre_fit_test_mask_hash,pre_fit_train_mask_hash,post_fit_test_mask_hash,post_fit_train_mask_hash,anchor_mask_hash,anchor_train_mask_hash,pre_fit_passed,post_fit_passed,fit_boundary_status,boundary_version
A,primary,1,1,1,1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,1,1,2,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,1,2,1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,1,2,2,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,1,3,1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,1,3,2,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,1,4,1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,1,4,2,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,1,5,1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,1,5,2,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,1,6,1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,1,6,2,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,1,7,1,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,1,7,2,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,387bda3b61226f2e22e1ca9065e35213fccc999c0b4abfa89dcce5562c2093ce,2ed450a0e79277ccd6dda97bafa504854a564af0cb41a3cd02c7b0332341dbd5,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,2,1,1,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,2,1,2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,2,2,1,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,2,2,2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,2,3,1,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,2,3,2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,2,4,1,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,2,4,2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,2,5,1,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,True,True,clean,phase8b-leakage-boundary-v1
A,primary,1,2,5,2,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,cb94a1861b00649eb0a7829154922ce5351407adcb7efa36b7f8d7aaf0b75578,ed37ddf1607a13084d9d4abcb81153324c0ad6022561dd00e240e14f4b85b96a,True,True,clean,phase8b-leakage-boundary-v1
